First	Last	P1	L1	B1	P2	L2	B2	L3	B3	E1	P3	L4	B4	L5	L6	P4	B5	B6	E2	L7	B7	P5	L8	L9	P6	E3	B8	L10	B9	B10	E4
Lloyd	Gibbon	100	100	100	100	95	100	86	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	70	89	94	100	100	100	100	100
Eleonora	Schlosser	97	32	99.2	97	85	95.9	54	93.5	24	82	90	93.5	90	100	97	87.3	94.9	92	100	97.6	100	100	100	5	86	97.6	100	100	54	90
Judith	Tignor	3	100	99.2	100	95	100	86	100	95	20	62	100	100	86	100	100	100	78	100	100	96	100	100	95	94	100	100	100	100	97
Maida	Mood	100	100	100	100	100	100	90	100	100	70	100	100	100	79	100	100	100	91	100	100	100	100	90	92	94	100	100	100	100	100
Kayla	Bruner	100	100	100	88	95	100	86	100	100	80	30	100	100	100	75	100	100	79	100	100	3	100	100	74	83	100	100	100	100	81
Tajuana	Galloway	93	100	100	100	90	100	86	100	90	100	100	100	100	100	96	100	100	81	100	100	65	100	90	69	73	100	50	100	100	83
Shantae	Carcamo	100	100	100	100	100	100	100	100	100	100	100	100	100	86	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96
Gayle	Tash	100	100	100	100	100	100	100	100	92	96	100	100	100	100	100	100	100	60	90	100	100	100	100	95	95	100	100	100	0	96
Keneth	Cuesta	100	100	99.7	100	95	100	100	100	88	25	100	100	100	96	85	100	100	76	100	100	96	100	100	34	94	100	na	100	100	100
Evangelina	Bozeman	100	100	100	100	95	100	93	100	100	25	100	100	100	65	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	71
Owen	Moniz	100	100	10.7	100	96	97.9	100	100	92	100	100	100	100	100	90	100	93.2	100	100	100	97	100	100	96	88	100	100	100	46	100
Aurelio	Alton	100	100	100	100	80	100	86	100	90	100	72	100	70	86	100	100	100	100	100	100	52	100	100	72	89	100	100	100	100	100
Marcene	Rothenberg	100	100	100	100	100	100	86	100	100	85	58	100	100	100	0	100	100	44	100	100	10	100	100	88	70	100	100	100	100	55
Sharla	Mattocks	100	90	98.6	100	100	100	100	100	100	95	100	100	70	100	96	100	100	94	100	100	100	100	100	91	100	100	60	100	100	69
Rob	Pauls	100	100	100	96	100	100	100	100	100	100	93	100	100	100	90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Calandra	Ungar	100	100	100	97	80	100	100	100	100	80	100	100	100	100	100	100	100	88	100	100	100	100	100	89	100	100	100	100	100	92
Deloris	Schoenborn	100	100	99.2	93	100	99	86	96.3	70	82	100	85.6	100	72	na	95.2	0	91	100	100	100	90	95	58	81	100	100	100	0	87
Brigette	Finney	94	86	87.9	91	91	98.5	54	100	95	12	96	100	65	79	100	97.6	100	64	100	100	100	100	40	77	82	100	na	100	100	100
Milissa	Mobley	100	100	100	96	95	100	100	100	100	81	100	100	100	86	100	100	100	100	100	100	100	100	100	93	100	100	100	100	100	92
Huong	Letson	97	100	100	100	95	99.5	86	100	85	40	98	100	15	79	0	98.8	100	82	100	100	60	100	90	53	100	100	100	100	100	97
Ella	Wike	100	100	99.2	100	100	99.5	100	100	96	100	100	100	100	100	95	100	100	100	100	100	76	100	100	100	100	100	100	100	100	100
Buster	Kisner	96	100	100	100	100	100	72	100	92	100	100	100	100	72	95	100	100	100	100	100	91	100	100	100	100	100	50	100	100	81
Stormy	Beaufort	100	100	96.1	90	100	96.4	na	96.3	85	na	na	0	100	86	100	91.5	0	82	100	100	100	100	100	na	94	100	100	100	100	96
Graig	Reel	100	100	100	100	100	100	100	100	100	70	100	100	100	86	100	100	100	85	100	100	100	100	100	92	100	100	100	100	100	100
Rosy	Hammontree	100	100	98.9	100	100	100	86	100	100	21	100	100	80	79	90	100	100	100	100	100	97	na	100	90	100	100	100	100	100	100
Armand	Bladen	97	100	100	100	80	100	93	100	91	85	58	100	100	72	70	100	100	100	100	100	58	100	100	55	94	100	100	100	100	85
Francisco	Masters	100	100	100	100	95	100	100	100	75	10	37	100	60	79	100	100	100	70	100	100	93	100	100	74	63	100	100	100	100	87
Aleida	Francoeur	100	90	100	100	100	100	86	100	100	10	56	100	100	86	22	100	100	63	73	100	7	100	100	0	94	100	80	100	100	71
Nicola	Alto	100	100	100	100	96	100	100	100	92	70	100	100	100	100	95	100	100	100	100	100	98	100	100	89	100	100	100	100	100	100
